Age,Sex,Height_cm,Weight_kg,BMI,BodyFat_PC,LeanMass_kg,ActivityLevel_1to5,Calorie_Maintenance
34,F,174,51,16.8,31.5,35,1,1519
40,F,182,69,20.8,35.3,44.7,3,2273
54,M,173,65,21.7,34.7,42.5,3,2272
33,M,160,88,34.4,8,81,4,2967
23,M,189,94,26.3,28.7,67.1,1,2413
25,M,168,54,19.1,26,40,3,2278
42,M,170,81,28,17.1,67.2,3,2584
35,M,163,83,31.2,45,45.7,4,2895
42,M,159,43,17,23.2,33,4,2102
29,M,160,84,32.8,17.9,69,5,3230
32,F,157,47,19.1,20.9,37.2,4,1949
43,F,139,62,32.1,27,45.3,3,1724
58,F,168,56,19.8,25.6,41.7,5,2202
62,F,181,46,14,17.8,37.8,2,1540
43,F,160,86,33.6,28.7,61.3,1,1780
64,F,195,55,14.5,22.3,42.8,1,1545
49,F,183,64,19.1,20,51.2,2,1894
27,M,169,69,24.2,20.3,55,4,2788
33,M,158,81,32.4,12.7,70.7,2,2251
24,F,154,55,23.2,14.3,47.2,4,2124
34,M,168,77,27.3,13.6,66.5,4,2854
40,M,170,66,22.8,8,60.7,4,2634
43,M,167,54,19.4,24.7,40.6,2,1888
38,M,180,85,26.2,13.9,73.2,3,2774
39,M,184,101,29.8,18.7,82.1,4,3398
24,F,174,73,24.1,19.6,58.7,2,2112
31,M,175,60,19.6,14.1,51.5,4,2662
32,F,166,58,21,19.1,46.9,4,2236
24,F,169,82,28.7,22.6,63.4,1,1914
26,F,174,70,23.1,16.4,58.5,2,2057
25,M,166,54,19.6,14.7,46.1,2,2004
40,F,176,44,14.2,17.1,36.5,4,2033
46,F,159,75,29.7,29.6,52.8,2,1860
35,F,162,51,19.4,17.5,42.1,3,1839
48,F,159,63,24.9,23.3,48.3,1,1467
47,M,163,94,35.4,18,77.1,3,2679
56,F,167,57,20.4,21.1,44.9,1,1407
52,F,180,85,26.2,28.8,60.5,3,2408
35,F,170,54,18.7,14.8,46,2,1741
59,F,157,83,33.7,39.8,49.9,3,2100
56,M,155,78,32.5,24.9,58.6,2,2026
34,F,165,77,28.3,23.6,58.8,4,2536
31,F,178,60,18.9,13.6,51.8,4,2408
48,F,184,79,23.3,27.2,57.5,4,2654
41,F,154,75,31.6,35.3,48.5,2,1851
52,F,173,98,32.7,16,82.4,1,1968
61,F,165,60,22,14,51.6,3,1806
62,M,166,89,32.3,22.4,69.1,4,2798
51,F,159,56,22.2,13.9,48.2,1,1365
20,M,167,66,23.7,18.4,53.9,2,2212
54,M,158,60,24,28.7,42.8,4,2281
60,F,167,62,22.2,36.1,39.6,3,1864
57,M,181,67,20.5,29,47.5,3,2357
43,F,176,91,29.4,15.1,77.2,3,2532
40,M,189,76,21.3,19.8,61,3,2706
61,F,175,88,28.7,19.2,71.1,4,2600
56,M,171,70,23.9,22.8,54,4,2576
32,M,175,89,29.1,29.1,63.1,5,3474
21,F,162,73,27.8,15.6,61.6,1,1771
46,M,149,58,26.1,39.5,35.1,3,1993
39,M,177,85,27.1,13.7,73.4,1,2119
42,M,152,92,39.8,15.4,77.9,5,3163
30,M,181,79,24.1,15.6,66.7,3,2753
35,M,177,82,26.2,41.7,47.8,5,3336
50,F,161,89,34.3,35.1,57.8,2,2042
33,M,165,65,23.9,15.5,54.9,2,2091
62,M,169,59,20.7,18.3,48.2,5,2548
59,F,160,75,29.3,21.2,59.1,5,2458
61,F,175,95,31,18.1,77.8,4,2721
19,F,176,74,23.9,29.2,52.4,2,2178
52,M,155,79,32.9,25.9,58.5,2,2067
59,M,161,71,27.4,23.6,54.2,4,2460
51,M,169,74,25.9,28.6,52.9,3,2396
47,M,181,62,18.9,25.5,46.2,4,2624
30,F,176,78,25.2,27.4,56.6,2,2157
30,F,146,83,38.9,23.4,63.6,2,1968
35,M,167,47,16.9,35.8,30.2,4,2317
49,M,174,47,15.5,23.1,36.2,2,1811
49,M,162,43,16.4,20.8,34.1,3,1863
52,M,161,92,35.5,28.4,65.9,3,2590
56,F,162,56,21.3,26.5,41.1,3,1753
63,F,166,75,27.2,21.8,58.6,2,1803
46,M,160,96,37.5,8.9,87.5,4,2992
46,F,176,74,23.9,33.3,49.4,3,2245
61,M,161,77,29.7,31.9,52.4,1,1771
33,M,159,57,22.5,15.2,48.3,1,1684
61,F,166,74,26.9,25.3,55.3,5,2491
64,M,184,55,16.2,17.8,45.2,3,2146
27,F,175,41,13.4,26.2,30.2,3,1872
47,M,175,70,22.9,30.9,48.4,4,2697
42,F,172,74,25,21,58.5,4,2490
56,M,160,62,24.2,27.7,44.8,2,1849
37,F,163,58,21.8,10.7,51.8,1,1503
22,M,161,66,25.5,15.1,56,5,2966
18,M,180,59,18.2,29.2,41.8,3,2526
47,F,172,81,27.4,16.9,67.3,3,2307
20,M,153,76,32.5,15.4,64.3,5,3080
62,F,184,94,27.8,16.2,78.8,2,2226
31,F,166,64,23.2,13.4,55.4,4,2348
47,M,176,71,22.9,30,49.7,3,2449
21,M,180,72,22.2,30.6,49.9,3,2704
35,M,144,64,30.9,15.9,53.8,3,2123
54,M,174,40,13.2,13.1,34.7,1,1467
42,F,167,76,27.3,21.2,59.9,4,2471
18,M,145,105,49.9,12.6,91.7,5,3555
63,M,158,84,33.6,27.6,60.8,3,2352
32,M,165,99,36.4,22.1,77.1,3,2892
26,F,178,83,26.2,19.1,67.2,2,2270
32,M,168,67,23.7,30.2,46.8,4,2699
41,F,171,79,27,14.5,67.6,4,2574
21,M,166,86,31.2,18.6,70,4,3100
29,F,180,45,13.9,12.4,39.4,4,2189
54,M,175,76,24.8,11,67.7,2,2184
54,M,171,68,23.3,14.7,58,1,1780
60,F,158,92,36.9,15.5,77.7,2,1988
23,M,171,75,25.6,14.8,63.9,3,2648
56,M,197,33,8.5,21.3,26,2,1768
63,M,177,76,24.3,21.2,59.9,2,2139
41,F,162,39,14.9,9.6,35.3,1,1243
28,M,188,89,25.2,28.4,63.7,1,2316
30,F,162,58,22.1,9.9,52.3,1,1537
51,F,177,53,16.9,8.2,48.7,5,2318
42,F,169,58,20.3,30.3,40.4,4,2182
24,M,171,56,19.2,13.2,48.6,1,1816
21,F,172,67,22.6,24.9,50.3,3,2292
25,F,167,57,20.4,17.3,47.1,3,2058
37,M,166,65,23.6,14,55.9,5,2864
46,F,156,46,18.9,12.5,40.2,2,1435
62,F,158,66,26.4,25,49.5,2,1617
63,M,173,91,30.4,14.5,77.8,3,2605
27,M,163,63,23.7,30.8,43.6,4,2619
60,F,160,79,30.9,9.8,71.2,2,1827
51,M,198,51,13,33.3,34,1,1797
43,M,194,78,20.7,8,71.8,2,2450
58,M,175,87,28.4,24.3,65.9,3,2602
20,F,177,91,29,12.6,79.5,2,2413
23,F,161,73,28.2,9.3,66.2,4,2518
22,M,158,80,32,21.2,63,5,3196
22,F,166,50,18.1,27.4,36.3,2,1741
64,M,170,64,22.1,20.4,50.9,4,2393
40,M,177,57,18.2,21.6,44.7,1,1777
26,M,151,74,32.5,23.6,56.5,3,2416
52,M,191,62,17,26.9,45.3,4,2688
37,M,172,80,27,35.2,51.9,3,2627
59,F,154,107,45.1,16,89.8,1,1891
52,F,171,79,27,25.8,58.6,2,1976
35,F,160,91,35.5,17.4,75.2,3,2439
34,F,160,52,20.3,20.6,41.3,4,2051
41,M,159,68,26.9,27.5,49.3,4,2542
20,M,167,73,26.2,23.4,55.9,1,2014
49,F,191,70,19.2,16,58.8,3,2306
52,F,170,97,33.6,22.8,74.8,4,2779
55,M,176,58,18.7,24.8,43.6,3,2185
30,M,179,74,23.1,27,54,1,2056
64,M,168,33,11.7,31.1,22.7,4,1837
42,F,158,76,30.4,36.3,48.4,5,2615
26,M,154,77,32.5,22,60,2,2210
21,M,166,69,25,13.2,59.9,2,2237
31,F,181,75,22.9,24.5,56.6,3,2426
54,F,179,61,19,11.3,54.1,5,2465
51,F,172,51,17.2,37.2,32,4,2016
28,M,173,55,18.4,17.5,45.4,4,2581
58,M,168,57,20.2,29.9,40,2,1835
20,F,165,50,18.4,24.5,37.7,4,2191
45,M,162,50,19.1,24,38,3,2003
46,M,155,57,23.7,9.4,51.7,5,2496
26,M,187,64,18.3,15.7,54,3,2609
20,F,171,71,24.3,18.8,57.6,4,2618
42,F,165,51,18.7,19,41.3,2,1609
51,M,188,55,15.6,22.7,42.5,4,2544
29,M,190,60,16.6,16.7,50,2,2265
59,M,197,76,19.6,25.9,56.3,2,2339
26,M,167,52,18.6,21.2,41,3,2230
32,F,171,62,21.2,27.3,45.1,3,2120
57,F,176,84,27.1,10.1,75.5,3,2315
42,M,186,58,16.8,28.2,41.6,1,1845
22,M,170,51,17.6,35,33.1,2,2017
28,F,160,68,26.6,20.7,53.9,2,1896
51,M,162,57,21.7,31.7,39,2,1832
41,F,181,28,8.5,21.8,21.9,3,1620
32,M,176,72,23.2,18.7,58.6,3,2580
55,F,168,83,29.4,23.7,63.3,5,2743
25,M,167,69,24.7,34.6,45.2,1,1936
22,M,168,85,30.1,33.9,56.2,2,2468
43,F,182,79,23.8,9.8,71.3,3,2404
35,F,162,57,21.7,13.8,49.2,4,2150
23,M,157,100,40.6,21.3,78.7,1,2245
54,M,188,74,20.9,16.3,61.9,4,2846
30,F,170,76,26.3,25.1,57,3,2342
45,F,169,55,19.3,20.9,43.5,4,2104
22,M,176,46,14.9,18.4,37.5,5,2764
30,M,160,53,20.7,37.8,33,2,1904
34,F,177,83,26.5,28.3,59.5,3,2488
57,F,166,95,34.5,27.7,68.7,4,2659
62,F,181,74,22.6,15.5,62.5,4,2415
49,F,154,71,29.9,21.7,55.6,3,1963
46,F,174,84,27.7,20.9,66.4,5,2919
20,M,167,90,32.3,22.8,69.5,4,3189
57,M,162,48,18.3,18.5,39.1,3,1879
51,F,177,94,30,29.4,66.4,1,1956
57,M,168,64,22.7,32.6,43.1,3,2185
44,M,174,86,28.4,28.1,61.8,3,2685
30,F,182,53,16,21.2,41.8,2,1865
62,M,177,85,27.1,18.8,69,5,3137
50,M,159,48,19,30.7,33.3,5,2334
23,M,164,86,32,24.6,64.9,2,2440
41,F,174,79,26.1,26.5,58.1,3,2342
36,F,177,46,14.7,24.4,34.8,4,2113
33,M,166,89,32.3,16.1,74.7,4,3048
57,M,171,55,18.8,34.5,36,1,1606
45,M,171,87,29.8,41.6,50.8,3,2664
50,M,173,72,24.1,18.5,58.6,5,2956
58,M,158,51,20.4,21.7,39.9,3,1879
30,M,155,54,22.5,19,43.8,3,2113
60,F,147,128,59.2,16.7,106.6,4,2997
62,M,171,104,35.6,26.8,76.2,3,2795
42,M,156,66,27.1,17.4,54.5,5,2717
59,F,191,76,20.8,14.4,65.1,5,2845
53,M,176,88,28.4,25.6,65.5,2,2365
44,M,158,50,20,15,42.5,1,1527
55,M,181,80,24.4,17.1,66.3,2,2284
24,M,181,84,25.6,16.6,70.1,2,2552
22,F,182,75,22.6,25.7,55.7,1,1939
60,M,161,90,34.7,22.6,69.7,4,2779
62,F,177,72,23,8,66.2,4,2337
48,M,182,86,26,24.3,65.1,1,2115
40,M,185,73,21.3,15.4,61.8,5,3213
59,F,154,46,19.4,34.3,30.2,5,1836
27,M,167,84,30.1,8,77.3,5,3332
49,F,161,89,34.3,25,66.7,4,2570
60,F,188,67,19,28.2,48.1,1,1660
47,F,174,49,16.2,12.3,43,3,1831
56,M,178,83,26.2,19.8,66.6,1,2001
48,M,174,74,24.4,22.8,57.2,4,2747
35,M,173,74,24.7,20.8,58.6,2,2270
53,M,161,72,27.8,25.9,53.4,5,2785
19,F,165,85,31.2,23.3,65.2,5,3087
31,M,170,74,25.6,28.3,53.1,3,2561
30,M,163,62,23.3,24.6,46.7,4,2576
46,F,161,45,17.4,22.9,34.7,4,1837
29,F,167,63,22.6,19.8,50.5,2,1880
56,M,163,83,31.2,24,63.1,3,2439
19,F,170,64,22.1,36,41,2,1988
49,F,165,83,30.5,21.3,65.3,5,2764
30,F,163,48,18.1,11.8,42.3,5,2256
63,F,160,54,21.1,30.8,37.4,3,1649
44,F,170,53,18.3,38.6,32.5,3,1877
58,M,178,72,22.7,26.6,52.8,3,2398
34,M,176,96,31,37.7,59.8,1,2274
57,M,154,103,43.4,23.1,79.2,2,2354
48,M,178,85,26.8,45,46.8,1,2073
51,M,176,40,12.9,10.3,35.9,2,1718
41,M,178,58,18.3,20.8,45.9,2,2052
62,M,180,24,7.4,26.8,17.6,4,1828
52,F,162,72,27.4,15.9,60.6,3,2032
23,M,167,94,33.7,31.5,64.4,4,3232
36,M,187,82,23.4,26.4,60.4,3,2811
47,M,187,43,12.3,20.3,34.3,3,2121
24,F,169,90,31.5,25.4,67.1,4,2889
27,M,176,88,28.4,23.6,67.2,4,3191
58,M,176,93,30,27.2,67.7,1,2094
49,F,187,86,24.6,20.1,68.7,3,2515
51,M,173,62,20.7,8,57,3,2249
45,M,157,42,17,28.9,29.9,3,1830
32,F,165,87,32,21.5,68.3,4,2725
47,M,201,81,20,15.7,68.3,1,2203
54,F,157,40,16.2,19,32.4,1,1140
46,M,170,55,19,20.4,43.8,1,1665
39,M,193,55,14.8,10.1,49.4,4,2701
21,M,162,80,30.5,14.9,68.1,2,2354
37,F,142,69,34.2,21.1,54.5,2,1693
49,F,144,66,31.8,20.6,52.4,2,1586
53,F,162,63,24,14.5,53.8,2,1672
21,M,152,53,22.9,11.7,46.8,1,1656
44,M,180,84,25.9,15.2,71.3,5,3325
34,F,172,59,19.9,24.4,44.6,2,1834
29,F,148,87,39.7,16.8,72.4,4,2568
39,M,154,49,20.7,29,34.8,5,2398
34,M,182,62,18.7,31.3,42.6,3,2468
27,M,171,99,33.9,36,63.4,2,2652
18,M,184,73,21.6,27,53.3,4,3096
39,F,181,62,18.9,25.4,46.3,1,1674
43,M,158,60,24,33,40.2,5,2617
35,M,178,56,17.7,12.3,49.1,3,2328
31,M,175,76,24.8,27,55.5,2,2342
64,M,150,83,36.9,29.6,58.4,1,1743
46,M,156,73,30,21.9,57,5,2812
29,M,194,69,18.3,28.6,49.3,4,3040
53,M,160,79,30.9,19.3,63.7,4,2639
52,F,174,48,15.9,22.3,37.3,5,2178
29,F,168,75,26.6,24.9,56.3,5,2838
24,F,171,76,26,24.7,57.2,2,2128
46,M,168,74,26.2,10.9,65.9,4,2699
28,F,179,61,19,17.9,50.1,4,2462
50,M,179,58,18.1,22.3,45,3,2253
23,M,171,50,17.1,25.1,37.4,2,2005
64,M,160,92,35.9,27.4,66.8,5,3049
32,M,164,69,25.7,22.2,53.7,2,2145
49,F,154,63,26.6,30.9,43.6,3,1839
28,M,166,62,22.5,19.7,49.8,1,1827
40,M,152,55,23.8,28.9,39.1,3,2022
43,F,172,61,20.6,20.8,48.3,3,2028
51,F,172,88,29.7,14.7,75.1,2,2116
63,F,180,78,24.1,42.9,44.5,3,2214
51,M,157,82,33.3,26,60.7,2,2132
46,F,158,84,33.6,8,77.3,2,1975
21,M,185,102,29.8,29.2,72.2,4,3581
34,M,156,70,28.8,23.3,53.7,5,2869
52,F,190,63,17.5,28.9,44.8,3,2164
30,F,160,76,29.7,26.3,56,3,2245
58,F,160,79,30.9,15.9,66.4,5,2544
56,M,178,69,21.8,29.4,48.7,4,2634
32,M,175,56,18.3,16.7,46.6,1,1798
46,M,186,72,20.8,15.5,60.8,5,3149
46,M,151,78,34.2,19.3,62.9,4,2585
28,M,175,75,24.5,13.7,64.7,2,2349
49,M,169,42,14.7,26,31.1,2,1699
19,F,159,46,18.2,38.7,28.2,4,2066
64,M,188,80,22.6,13.2,69.5,3,2573
31,F,172,64,21.6,33,42.9,2,1923
37,F,169,103,36.1,17.2,85.3,4,3001
39,F,174,90,29.7,17.3,74.5,3,2528
28,F,152,50,21.6,12.9,43.6,2,1579
44,F,157,85,34.5,24.7,64,3,2247
20,M,166,94,34.1,11.4,83.3,3,2917
34,M,173,63,21,18.2,51.5,3,2396
61,M,182,68,20.5,30.9,47,3,2352
45,M,161,61,23.5,34.5,39.9,1,1675
46,F,158,53,21.2,14.4,45.4,2,1548
38,F,175,93,30.4,19.6,74.8,3,2592
64,F,168,31,11,20.9,24.5,1,1054
33,M,150,59,26.2,10.2,53,4,2358
54,M,160,63,24.6,17.4,52,4,2354
37,M,168,72,25.5,16.9,59.8,4,2742
23,M,168,51,18.1,25.9,37.8,3,2247
36,F,170,90,31.1,24,68.4,3,2513
22,F,156,42,17.3,23,32.3,1,1348
20,M,168,42,14.9,20.3,33.5,2,1890
18,M,179,70,21.8,32.5,47.3,1,2080
55,F,141,50,25.1,21.8,39.1,5,1795
32,F,167,73,26.2,29.9,51.1,3,2251
51,F,153,58,24.8,26.7,42.5,2,1540
52,F,169,82,28.7,23.2,63,4,2510
42,M,154,56,23.6,29.1,39.7,3,2042
41,F,171,91,31.1,19.5,73.2,3,2499
29,F,186,79,22.8,14.8,67.3,5,3128
35,F,160,58,22.7,21.8,45.4,4,2145
32,F,161,79,30.5,34,52.1,3,2286
61,M,165,72,26.4,23.7,54.9,1,1741
33,M,173,81,27.1,18,66.4,1,2077
44,M,159,78,30.9,15.5,65.9,3,2416
25,M,166,75,27.2,9.8,67.6,2,2292
63,M,163,70,26.3,15.4,59.2,3,2183
42,M,165,83,30.5,24.4,62.7,3,2567
34,F,173,87,29.1,20.1,69.5,2,2227
46,F,175,72,23.5,23.8,54.9,1,1707
25,F,155,79,32.9,14.7,67.4,4,2540
32,F,173,84,28.1,30.2,58.6,4,2760
44,M,201,94,23.3,28,67.7,2,2724
63,F,185,91,26.6,17.5,75.1,4,2743
24,M,163,85,32,10.7,75.9,4,3025
20,F,171,63,21.5,24,47.9,3,2228
46,F,169,50,17.5,8,46,3,1806
61,F,174,78,25.8,11.5,69,3,2172
41,M,165,78,28.7,18.8,63.4,3,2497
20,F,167,64,22.9,14.9,54.4,4,2454
37,M,162,49,18.7,32.4,33.1,3,2049
63,M,180,94,29,19.4,75.8,3,2720
32,F,173,76,25.4,25.9,56.3,1,1824
42,M,173,51,17,8,46.9,2,1906
47,M,182,68,20.5,8,62.6,5,3016
31,F,182,49,14.8,16.6,40.9,1,1573
24,F,180,80,24.7,23.7,61,5,3123
34,F,182,97,29.3,11.8,85.5,3,2753
61,F,185,67,19.6,24.9,50.3,5,2584
37,F,160,68,26.6,32.8,45.7,4,2301
53,F,167,65,23.3,15.7,54.8,4,2186
26,M,177,66,21.1,21.9,51.5,3,2543
55,F,161,58,22.4,19.8,46.5,4,1984
39,F,166,90,32.7,18.6,73.3,3,2451
19,M,171,72,24.6,24.5,54.3,1,2038
41,F,167,70,25.1,22.1,54.6,3,2135
25,M,170,66,22.8,20.5,52.4,4,2764
28,F,158,50,20,23.1,38.4,1,1423
30,F,169,84,29.4,28.9,59.7,4,2734
34,M,171,91,31.1,26.8,66.6,1,2176
25,F,186,42,12.1,8,38.6,3,2009
38,M,167,80,28.7,14.9,68.1,3,2571
35,F,163,82,30.9,26.7,60.1,1,1803
47,F,177,89,28.4,42.7,51,1,1920
35,M,138,88,46.2,16.8,73.3,3,2437
63,F,166,109,39.6,10,98.1,2,2270
64,F,164,76,28.3,40.2,45.4,4,2249
48,M,172,84,28.4,32.1,57,3,2604
55,F,182,70,21.1,31.6,47.9,1,1681
49,M,185,57,16.7,22.9,44,2,2043
28,F,172,80,27,21.6,62.7,3,2439
62,M,154,84,35.4,20.9,66.5,5,2845
42,F,164,75,27.9,28.1,53.9,4,2421
50,M,165,45,16.5,32,30.6,1,1483
55,M,173,48,16,23.3,36.8,1,1549
58,F,170,81,28,28.2,58.2,1,1705
25,F,163,64,24.1,33.1,42.8,3,2127
28,M,157,75,30.4,29.5,52.9,3,2474
39,F,161,77,29.7,26.7,56.5,1,1704
41,M,160,68,26.6,16.2,57,1,1776
58,F,186,66,19.1,16.8,54.9,5,2605
34,F,162,68,25.9,8.2,62.4,5,2586
29,M,170,78,27,25.1,58.4,1,2043
63,M,179,77,24,22.9,59.4,2,2170
49,F,171,58,19.8,32.2,39.3,5,2361
32,F,159,69,27.3,25.7,51.3,3,2112
33,F,179,54,16.9,19.4,43.5,5,2532
39,F,173,77,25.7,18.1,63,3,2317
45,F,148,63,28.8,24.8,47.4,3,1811
37,M,182,80,24.2,24,60.8,2,2416
50,F,178,66,20.8,36.6,41.9,4,2348
27,F,173,87,29.1,21.1,68.6,4,2855
57,M,186,89,25.7,25.9,66,2,2437
49,M,178,76,24,35.1,49.3,3,2530
50,M,181,64,19.5,20.8,50.7,2,2098
19,F,180,55,17,19.4,44.4,3,2199
50,M,177,84,26.8,11.3,74.5,4,2934
50,M,152,69,29.9,19.1,55.8,3,2162
58,M,153,70,29.9,25,52.5,4,2365
30,M,178,64,20.2,33,42.9,5,3054
47,F,182,49,14.8,11,43.6,3,1908
50,F,162,86,32.8,14.8,73.3,4,2521
30,F,158,68,27.2,8,62.6,2,1865
43,M,172,42,14.2,36.4,26.7,1,1542
39,M,155,67,27.9,23.3,51.4,1,1738
56,M,168,49,17.4,18.5,39.9,4,2182
19,M,166,78,28.3,8,71.8,1,2073
55,M,167,76,27.3,22,59.3,5,2914
56,M,188,92,26,18.8,74.7,4,3139
43,F,163,47,17.7,8,43.2,3,1724
63,F,170,91,31.5,19.7,73.1,3,2319
32,M,156,77,31.6,31.8,52.5,3,2464
51,F,179,49,15.3,19.9,39.2,4,2057
59,M,168,97,34.4,31.4,66.5,3,2681
61,M,181,68,20.8,34.5,44.6,2,2077
57,F,145,52,24.7,19.9,41.7,5,1862
28,M,169,85,29.8,21.3,66.9,1,2125
20,F,171,53,18.1,26,39.2,2,1839
23,M,179,87,27.2,30.2,60.7,3,2912
26,M,163,67,25.2,33.4,44.6,4,2697
23,F,177,64,20.4,34.1,42.1,1,1764
26,M,164,50,18.6,16.1,41.9,3,2170
56,M,170,54,18.7,33.6,35.8,3,2057
48,M,179,72,22.5,26.1,53.2,3,2485
49,F,160,45,17.6,17.8,37,2,1435
58,M,177,80,25.5,12.8,69.7,4,2796
29,M,173,62,20.7,15.6,52.3,2,2146
25,M,166,64,23.2,24.9,48.1,4,2686
25,F,163,78,29.4,18.1,63.9,4,2609
45,F,148,66,30.1,24.9,49.6,5,2278
37,F,169,88,30.8,13,76.6,2,2186
64,F,166,39,14.2,16,32.8,4,1632
24,F,176,82,26.5,21.3,64.5,2,2253
28,M,175,70,22.9,20.6,55.6,2,2280
37,F,180,60,18.5,11.8,52.9,3,2137
33,F,181,84,25.6,17,69.7,2,2262
21,M,201,78,19.3,8,71.7,2,2662
23,F,175,73,23.8,22.5,56.6,4,2669
39,M,161,66,25.5,34.2,43.4,3,2288
43,F,178,59,18.6,15.9,49.6,1,1591
20,M,186,53,15.3,14.4,45.4,3,2476
58,M,174,90,29.7,29.9,63.1,2,2340
59,F,148,82,37.4,12.6,71.6,5,2449
31,F,175,78,25.5,30,54.6,3,2414
28,M,163,63,23.7,12.4,55.2,1,1816
35,M,156,100,41.1,19.2,80.8,2,2481
29,M,171,59,20.2,20.1,47.2,2,2088
40,M,154,64,27,27.6,46.3,1,1689
29,M,180,97,29.9,37,61.1,3,3030
30,M,177,69,22,19.2,55.7,5,3137
42,M,169,96,33.6,21.9,75,4,3124
62,F,164,75,27.9,8.3,68.8,3,2021
36,M,168,62,22,21.7,48.6,2,2055
63,F,159,67,26.5,31.2,46.1,2,1633
53,F,169,59,20.7,40.9,34.9,2,1677
62,M,141,80,40.2,19.1,64.7,1,1651
25,M,170,88,30.4,27.7,63.6,1,2187
46,F,171,77,26.3,31.3,52.9,3,2244
49,M,178,74,23.4,10.5,66.2,4,2781
61,M,172,54,18.3,33.3,36,1,1578
35,F,179,86,26.8,15.5,72.6,2,2258
23,F,175,82,26.8,24.1,62.2,1,1965
35,F,180,74,22.8,11.9,65.2,2,2102
36,M,196,65,16.9,19.1,52.6,4,2932
39,M,174,70,23.1,8.5,64.1,1,1917
54,F,171,56,19.2,24.1,42.5,3,1856
49,M,181,47,14.3,34.3,30.9,1,1633
58,F,165,65,23.9,22.3,50.5,3,1906
20,M,168,57,20.2,10.5,51,3,2363
45,F,174,62,20.5,19.3,50,3,2048
27,M,170,62,21.5,23.7,47.3,3,2406
52,F,170,68,23.5,20.8,53.8,5,2510
46,M,178,67,21.1,27.4,48.6,2,2141
32,M,153,24,10.3,38.1,14.9,3,1613
50,F,190,75,20.8,21.5,58.9,2,2098
24,M,174,71,23.5,21,56.1,5,3196
29,M,165,84,30.9,16.2,70.4,5,3289
47,F,186,66,19.1,30.2,46,1,1711
38,M,171,86,29.4,37.3,53.9,5,3313
48,M,171,67,22.9,20.5,53.3,4,2593
41,M,167,75,26.9,24,57,5,3028
37,F,184,56,16.5,23.3,43,4,2352
54,F,169,87,30.5,15.9,73.2,1,1794
21,F,164,89,33.1,27.9,64.2,4,2844
45,F,179,98,30.6,21.7,76.8,4,2954
61,F,181,61,18.6,23.8,46.5,2,1753
37,M,186,77,22.3,29.7,54.1,4,3023
41,M,176,48,15.5,19.4,38.7,3,2139
49,F,181,41,12.5,22.8,31.7,5,2156
58,M,167,78,28,16.2,65.4,3,2385
53,M,180,68,21,13.3,59,3,2394
51,M,177,50,16,23,38.5,5,2576
53,M,175,72,23.5,23.7,55,3,2408
19,F,154,84,35.4,29.4,59.3,2,2126
32,F,166,70,25.4,15.9,58.9,1,1699
51,M,169,88,30.8,13.6,76,4,2908
53,M,175,60,19.6,36.2,38.3,1,1720
23,F,194,86,22.9,23,66.2,5,3413
56,M,178,64,20.2,11,57,5,2807
59,M,161,88,33.9,21.6,69,2,2194
29,M,165,50,18.4,16.7,41.6,1,1669
20,F,183,73,21.8,24.9,54.8,3,2499
62,F,164,73,27.1,18.7,59.4,2,1765
35,M,180,77,23.8,31.9,52.4,3,2673
57,M,171,64,21.9,11.6,56.6,3,2214
38,M,168,76,26.9,32.2,51.5,4,2803
32,M,164,67,24.9,27.9,48.3,5,2926
50,M,139,62,32.1,24.6,46.8,3,1927
52,M,175,91,29.7,30.3,63.4,3,2710
43,F,159,71,28.1,31.7,48.5,2,1825
25,F,155,47,19.6,22,36.7,4,1988
53,M,172,59,19.9,35,38.3,1,1686
47,F,180,91,28.1,26.9,66.5,3,2540
40,M,153,56,23.9,17.6,46.1,2,1816
59,M,180,78,24.1,11.2,69.2,2,2220
61,F,160,59,23,30.6,41,3,1742
31,F,176,48,15.5,22,37.4,2,1738
31,M,175,77,25.1,8,70.8,3,2656
19,M,167,65,23.3,24.7,49,2,2205
54,F,170,93,32.2,19.9,74.5,3,2420
22,F,166,86,31.2,16.6,71.7,2,2236
55,M,172,88,29.7,30.1,61.5,4,2906
62,M,172,85,28.7,15.7,71.7,3,2511
58,M,160,80,31.2,18.4,65.3,2,2083
64,F,156,49,20.1,20.3,39.1,1,1180
31,M,180,66,20.4,30.1,46.1,1,1962
56,F,172,80,27,12.6,69.9,3,2222
42,M,178,65,20.5,16.9,54,2,2141
37,F,163,69,26,25.4,51.5,2,1873
19,F,161,80,30.9,26,59.2,3,2402
56,F,159,85,33.6,13,74,4,2419
23,F,168,56,19.8,18.8,45.4,1,1600
34,M,172,80,27,21.1,63.2,1,2052
42,F,164,78,29,24.3,59,2,1971
45,F,185,55,16.1,20.3,43.8,3,2046
19,F,163,63,23.7,34.3,41.4,2,1915
52,M,172,72,24.3,21.2,56.7,3,2387
54,M,161,90,34.7,34.1,59.3,1,1969
22,M,163,63,23.7,18.3,51.5,3,2392
18,M,169,76,26.6,9.2,69,4,2986
57,M,161,87,33.6,42.1,50.4,5,3032
29,M,170,97,33.6,21.3,76.3,3,2933
53,F,174,73,24.1,25,54.8,1,1669
62,F,180,38,11.7,10.4,34,4,1783
40,F,159,83,32.8,24.1,63,4,2523
64,M,171,73,25,28.6,52.1,2,2040
48,F,169,57,20,12.8,49.7,3,1899
28,F,151,80,35.1,20.9,63.3,5,2741
